"","species","English.name","Sequence","Family1","Order1","Avibase.ID1","Total.individuals","Female","Male","Unknown","Complete.measures","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Mass.Source","Mass.Refs.Other","Inference","Traits.inferred","Reference.species","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","result.taxonid","result.category","threatened","agriculture","invasive","residential","energy","transportation","resource_use","intrusion","nat_sys_modif","pollution","geological","climate_change","other","rangecentr","masscentr","wing.lcentr","clutchcentr","clutch.size","gen.length","genlcentr","hits"
"2770","Bubo blakistoni","Blakiston's Eagle-owl",2942,"Strigidae","Strigiformes","AVIBASE-2B0C5E60",1,0,1,0,1,52.3,31.9,19.7,27.8,83,508,135,373,26.6,261,3850,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Carnivore","Aquatic predator","Insessorial",34.35,62.17,51.14,134.2,2289996.15,22689007,4,1,1,0,1,0,1,1,1,1,1,0,0,0,3.82769198,3.754029356,1.432681786,-1.227670305,2,7.228154105,4.184643338,0
"2771","Ardea humbloti","Madagascar Heron",2239,"Ardeidae","Pelecaniformes","AVIBASE-A8EE526F",4,1,3,0,4,144.5,118,18,26.3,172.5,449,168,281,37.5,169.8,1060,"Inferred",NA,"YES","Body Mass","Ardea melanocephala",0,3,1,"Carnivore","Aquatic predator","Terrestrial",-25.61,-11.95,-18.2,45.86,61195.29,22697012,4,1,1,0,0,0,0,1,1,0,1,0,1,0,0.20545679,2.464225116,1.190541986,-0.146557964,3,7.228622562,4.185451141,0
"2772","Plegadis falcinellus","Glossy Ibis",2188,"Threskiornithidae","Pelecaniformes","AVIBASE-D4540F88",8,4,4,0,4,117.2,102.8,10.4,13.9,86.4,274.8,104.7,165.3,38.9,102.7,626.6,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Terrestrial",-39.14,49.67,-2.86,50.72,23712479.58,22697422,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6.16514332,1.938509308,0.475613967,0.393998206,3.5,7.246297223,4.215929147,20.96396396
"2773","Branta ruficollis","Red-breasted Goose",406,"Anatidae","Anseriformes","AVIBASE-0D280B3F",5,0,5,0,4,28.5,14.9,14.1,10.8,54.9,345.6,183.8,161.5,53.2,101,1226.5,"Dunning",NA,"NO",NA,NA,0,3,3,"Herbivore","Herbivore terrestrial","Terrestrial",66.82,76.96,71.96,90.31,754114,22679954,3,1,0,0,0,1,0,1,1,0,0,0,1,0,2.71693012,2.610120793,0.766181726,2.556222887,5.5,7.257185195,4.234704255,0
"2774","Ceratogymna elata","Yellow-casqued Hornbill",3284,"Bucerotidae","Bucerotiformes","AVIBASE-CBC236C2",8,3,3,2,4,176.8,135.8,43.1,45.5,53.5,381.9,71.8,297.8,19.5,304.8,1917,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",3.36,12.86,6.81,-4.06,495247.1,22682627,3,1,1,0,0,0,0,1,0,0,0,0,1,0,2.2964434,3.056717672,0.915159264,NA,NA,7.262393835,4.243685981,0
"2775","Pseudobulweria rostrata","Tahiti Petrel",2127,"Procellariidae","Procellariiformes","AVIBASE-FCFBB7D9",2,2,0,0,2,34.8,26.4,9.6,11.8,44.8,282.5,189,93.5,66.9,103.5,409,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aquatic",-31.11,17.67,-8.04,-47.49,49574430.81,22697925,2,0,0,1,1,1,0,1,0,0,1,0,0,0,6.90261704,1.511916085,0.507215262,NA,NA,7.275167689,4.265713085,3.225225225
"2776","Larus cirrocephalus","Grey-headed Gull",2603,"Laridae","Charadriiformes","AVIBASE-6EB497FA",5,2,3,0,4,47.5,18.2,5.1,10.2,49.5,319,176.2,140.5,55.6,124.6,374.7,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Aerial",-39.24,23.17,-17.4,11.28,6411818.5,22694387,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4.85728478,1.424326635,0.657013613,NA,NA,7.278131681,4.270824163,0
"2777","Afropavo congensis","Congo Peafowl",216,"Phasianidae","Galliformes","AVIBASE-E9125492",5,2,3,0,4,37.6,16.3,9.1,9.4,95,297.2,30.1,268.1,10.1,159.8,1273.7,"Dunning",NA,"NO",NA,NA,0,1,1,"Omnivore","Invertivore","Terrestrial",-5,2.21,-1.2,24.24,697505.34,22679430,3,1,1,0,0,1,0,1,1,0,0,0,0,0,2.63889674,2.647882259,0.567545009,-0.470891666,2.7,7.304525954,4.31633818,0
"2778","Rhabdotorrhinus leucocephalus","Writhed Hornbill",3312,"Bucerotidae","Bucerotiformes","AVIBASE-400BE12E",6,3,3,0,4,129.3,106,34.2,43.4,53,316,70.5,242.5,22.5,230.5,1086,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",5.56,10.47,7.71,124.86,89999.67,22682522,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0.59119257,2.488457429,0.64470142,NA,NA,7.318365131,4.340202316,0
"2779","Buteo ridgwayi","Ridgway's Hawk",3187,"Accipitridae","Accipitriformes","AVIBASE-AE294FD9",4,1,3,0,2,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,"Updated_literature","Dunning (2021)","NO",NA,NA,0,1,1,"Carnivore","Vertivore","Insessorial",18.97,19.27,19.07,-69.57,210.23,22695886,5,1,1,1,0,0,1,1,1,0,0,0,1,0,-5.468166541,1.250773568,0.260971398,-1.227670305,2,7.324558666,4.350882385,0
"2780","Platycercus icterotis","Western Rosella",4313,"Psittacidae","Psittaciformes","AVIBASE-D514DE80",4,1,3,0,4,15.6,12.6,8.7,16,16,134,57.5,76.5,42.9,140,63.3,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",-35.19,-30,-32.8,118.49,214002.52,22685130,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1.45737436,-0.353913742,-0.102238301,2.340000419,5.3,7.333096007,4.365604089,8.495495495
"2781","Buteo lagopus","Rough-legged Buzzard",3198,"Accipitridae","Accipitriformes","AVIBASE-90B13ACF",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Vertivore","Insessorial",47.6,83.11,67.33,2.14,9709846.76,22695973,1,0,1,0,0,0,1,1,0,0,1,0,1,0,5.27228235,2.354452365,1.105587853,0.934554376,4,7.360487325,4.4128374,0
"2782","Penelope albipennis","White-winged Guan",98,"Cracidae","Galliformes","AVIBASE-D10D229A",4,1,2,1,3,40.4,16.7,9.8,11.3,83.7,317.5,52,265.5,16.4,313.5,1750,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-6.74,-5.43,-6.07,-79.62,3108.85,22678382,4,1,1,0,0,1,0,1,0,0,0,0,0,0,-2.774360548,2.965571996,0.650857517,-0.146557964,3,7.372553489,4.433644171,0
"2783","Pipile jacutinga","Black-fronted Piping-guan",107,"Cracidae","Galliformes","AVIBASE-DA1A931A",5,3,0,2,4,38.3,17.6,9.4,11.2,67.1,340,66.6,274.6,19.5,285.4,1241,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-28.3,-19.33,-25.01,-50.4,169256.82,22678429,4,1,1,0,0,0,0,1,0,1,0,0,0,0,1.22280378,2.621873714,0.743198966,-0.146557964,3,7.381390074,4.448881888,0
"2784","Nannopterum harrisi","Flightless Cormorant",2305,"Phalacrocoracidae","Suliformes","AVIBASE-CEA9048D",4,1,3,0,4,91.2,67.2,13.3,20.4,70.5,188.8,43.5,145.2,23,154,3016.6,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Aquatic",-0.8,0.17,-0.38,-91.5,91.21,22696756,3,1,0,1,0,0,0,1,1,0,1,1,1,0,-6.30320417,3.510086577,0.122664428,NA,NA,7.382597209,4.450963459,11.14414414
"2785","Nipponia nippon","Asian Crested Ibis",2173,"Threskiornithidae","Pelecaniformes","AVIBASE-3E328C3C",5,2,3,0,4,169.2,145.8,18.4,22.1,78,392.6,142.8,251.9,36.2,145.4,1900,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Aquatic predator","Terrestrial",33.14,33.44,33.28,107.6,1119.51,22697548,4,1,0,0,0,0,0,1,0,1,1,0,0,0,-3.795722341,3.047810094,0.959072753,-0.146557964,3,7.388794076,4.461649274,4.085585586
"2786","Polyplectron malacense","Malay Peacock-pheasant",222,"Phasianidae","Galliformes","AVIBASE-DBFC1B0C",5,2,2,1,4,26.7,12.6,6.9,7.7,64.2,192.6,38.6,152.9,20.2,191.4,608,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Terrestrial",1.25,6.43,4.13,102.13,116752.23,22679385,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0.85144057,1.908375811,0.138259873,-2.308782645,1,7.41233657,4.502245712,0
"2787","Talegalla cuvieri","Red-billed Brush-turkey",67,"Megapodiidae","Galliformes","AVIBASE-9F3603B0",4,2,2,0,4,37.7,24.2,11,19,86.1,275,74.5,200.5,27.1,151.5,1785,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Terrestrial",-4.97,-0.34,-2.59,133.79,122104.79,22678564,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.89626618,2.985374623,0.476434779,NA,NA,7.413140777,4.503632478,0
"2788","Aburria aburri","Wattled Guan",108,"Cracidae","Galliformes","AVIBASE-50A42775",12,6,6,0,4,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,15.7,290.4,1405.1,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-13.43,11.15,-2.79,-75.23,139314.36,22678440,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1.02811953,2.746064683,0.731707585,NA,NA,7.418901822,4.513566766,0
"2789","Nisaetus floris","Flores Hawk-eagle",3033,"Accipitridae","Accipitriformes","AVIBASE-FF57DFD2",1,0,1,0,1,41.7,26.5,12.8,21.6,113.9,436.7,115.9,320.8,26.5,229.3,1475.1,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Vertivore","Insessorial",-9.11,-8.07,-8.59,119.37,34986.16,22732096,5,1,1,0,0,0,0,1,0,0,0,0,0,0,-0.35366088,2.794681992,1.140061994,-2.308782645,1,7.426818862,4.527218829,0
"2790","Larus leucophthalmus","White-eyed Gull",2615,"Laridae","Charadriiformes","AVIBASE-A7F240E3",5,2,3,0,4,52.5,20.8,4.9,10.2,44.5,322.2,187.8,133,58.5,115.6,328.9,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Generalist",10.99,28.01,16.89,40.53,1402.69,22694299,1,0,0,1,1,1,0,1,1,0,1,0,0,0,-3.570221609,1.293954682,0.670146619,NA,NA,7.427523019,4.52843307,0
"2791","Sternula lorata","Peruvian Tern",2647,"Laridae","Charadriiformes","AVIBASE-F9A32D38",4,2,2,0,4,34.7,22.3,2.9,5.1,13.7,173.5,118.6,54.9,68.4,73.8,53.8,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aerial",-22.95,-7.41,-17.29,-73.89,21.27,22694685,4,1,1,1,1,1,0,1,1,1,0,0,1,0,-7.759071081,-0.516525604,0.059872242,NA,NA,7.436876495,4.544562109,0
"2792","Ciconia abdimii","Abdim's Stork",2146,"Ciconiidae","Ciconiiformes","AVIBASE-26CD0319",4,2,2,0,4,108,82.2,15.4,24,113,416.5,185.8,230.8,44.6,163,1398,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Invertivore","Terrestrial",5.91,20.76,12.48,15.57,6486422.91,22697673,1,0,1,0,1,0,0,1,0,0,1,0,0,0,4.86885306,2.740998852,1.057159893,-0.95739222,2.25,7.446135018,4.560527412,0
"2793","Megapodius bernsteinii","Sula Scrubfowl",75,"Megapodiidae","Galliformes","AVIBASE-034D904B",1,0,1,0,1,22.4,11.9,6.2,7.9,60.8,185,48.1,136.9,26,57,768.6,"EltonTraits_GenAvg",NA,"NO",NA,NA,0,2,1,"Omnivore","Invertivore","Terrestrial",-2.47,-1.15,-1.71,124.51,4283.59,22678593,3,1,1,1,0,0,0,1,0,0,0,0,0,0,-2.453821988,2.142771607,0.107068983,7.421228419,10,7.446814413,4.561698954,0
"2794","Sternula saundersi","Saunders's Tern",2644,"Laridae","Charadriiformes","AVIBASE-4B21F4D8",5,2,3,0,4,31.1,20.3,3.1,5.5,15.3,168,119.8,47.2,71.7,68.2,42.5,"Updated_literature","BoW","NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aerial",-0.89,28.91,11.03,61.46,257886.15,22694666,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1.64390478,-0.752294995,0.037299888,-1.119559071,2.1,7.453552471,4.573317993,0
"2795","Erythrotriorchis radiatus","Red Goshawk",3133,"Accipitridae","Accipitriformes","AVIBASE-235CF06A",4,2,1,1,4,34.8,20.7,11.9,17.4,74.5,387.2,161.8,225.5,41.8,250,887.4,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Vertivore","Aerial",-29.57,-11.12,-17.74,138.86,1074830.71,22695699,2,0,1,0,0,0,0,1,0,1,1,0,0,0,3.07130502,2.286496768,0.936910806,-1.227670305,2,7.459592025,4.583732539,20.5045045
"2796","Rhabdotorrhinus corrugatus","Wrinkled Hornbill",3310,"Bucerotidae","Bucerotiformes","AVIBASE-9C62A324",4,2,2,0,4,147.5,120.9,35.4,70.2,48.6,343.2,45.8,297.4,13.3,231.2,1590,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-5.95,7.25,0.71,107.72,892566.53,22682514,4,1,1,0,0,0,0,1,0,1,0,0,0,0,2.88548762,2.869690224,0.756331972,NA,NA,7.466528412,4.595693574,7.018018018
"2797","Accipiter gentilis","Northern Goshawk",3128,"Accipitridae","Accipitriformes","AVIBASE-420850D6",8,4,4,0,4,33.7,19.6,11.6,18,67.3,337.6,122.6,215,36.3,241.1,866,"Dunning",NA,"NO",NA,NA,0,1,2,"Carnivore","Vertivore","Generalist",17.1,70.39,54.91,19.06,31775270.74,22695683,1,0,1,1,0,1,0,1,1,1,1,0,0,0,6.45783019,2.262085838,0.733349211,0.393998206,3.5,7.483527603,4.625006806,20.63963964
"2798","Charadrius obscurus","Southern Red-breasted Plover",2367,"Charadriidae","Charadriiformes","AVIBASE-B41D547B",4,2,2,0,4,31,18.9,4.8,6.1,37.2,168.8,88.8,80,52.6,64.8,146,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Terrestrial",-47.14,-46.37,-46.52,168.48,311.44,62290750,5,1,0,1,1,0,0,0,1,0,0,0,0,0,-5.075162007,0.481807551,0.04058314,-0.254669198,2.9,7.491967102,4.639559793,0
"2799","Larus melanocephalus","Mediterranean Gull",2613,"Laridae","Charadriiformes","AVIBASE-052BFA8A",5,2,3,0,4,42.2,17,5.4,11.2,48.3,302.4,172.5,129.2,57.1,113.2,256,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Omnivore","Generalist",35.17,56.28,45.17,26.2,250526.34,22694443,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1.61495063,1.043378373,0.588886144,NA,NA,7.494381984,4.643723991,13.37387387
"2800","Larus bulleri","Black-billed Gull",2605,"Laridae","Charadriiformes","AVIBASE-1E12A4D6",4,2,1,1,4,41.5,18.4,4.2,7.9,37.5,287.5,165.2,122.2,57.5,93,230.2,"Dunning",NA,"NO",NA,NA,0,3,1,"Carnivore","Aquatic predator","Generalist",-46.38,-36.21,-42.4,172.6,8688.09,22694413,2,0,0,1,0,1,0,1,1,1,1,0,1,0,-1.746660309,0.937149425,0.527735584,NA,NA,7.497637956,4.649338556,0
"2801","Bycanistes cylindricus","Brown-cheeked Hornbill",3288,"Bucerotidae","Bucerotiformes","AVIBASE-F03111B9",6,1,3,2,4,144.7,108.8,33.8,85.6,52.6,319.8,55.8,264,17.4,258.2,921,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",4.35,9.32,6.96,-5.98,477009.11,22682585,3,1,1,0,0,0,0,1,0,0,0,0,0,0,2.25892216,2.323660965,0.660296865,-1.227670305,2,7.545381748,4.731667466,0
"2802","Poicephalus cryptoxanthus","Brown-headed Parrot",4109,"Psittacidae","Psittaciformes","AVIBASE-4A039821",5,2,3,0,4,25.3,19.8,14.1,23.5,16,156.2,67.7,86.8,43.8,70.8,140,"Dunning",NA,"NO",NA,NA,0,3,1,"Herbivore","Omnivore","Insessorial",-29.09,-1.84,-15.7,35.89,1182606.67,22685317,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.16686289,0.439843352,-0.011128072,-0.416836049,2.75,7.551744731,4.742639729,0
"2803","Pluvialis squatarola","Grey Plover",2359,"Charadriidae","Charadriiformes","AVIBASE-27903EF7",9,4,5,0,4,32,19.2,5.1,7,44.5,184.4,110,73.2,60.1,71.4,250,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",58.39,79.37,70.21,24.35,3963258.28,22693749,1,0,1,1,1,0,0,0,1,0,0,0,1,0,4.37620833,1.019661847,0.104606544,0.934554376,4,7.553302577,4.745326063,15.75675676
"2804","Hemiphaga novaeseelandiae","New Zealand Pigeon",947,"Columbidae","Columbiformes","AVIBASE-335C2C80",8,3,4,1,4,29.6,13,5.9,6,34.5,256.6,81.4,175.2,31.7,193.2,653,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Frugivore","Insessorial",-47.29,-34.39,-41.1,173.06,207708.89,22727557,2,0,0,1,1,0,1,1,0,0,0,0,1,0,1.4275241,1.979778058,0.400919994,-2.308782645,1,7.554970246,4.748201775,0
"2805","Lorius chlorocercus","Yellow-bibbed Lory",4374,"Psittacidae","Psittaciformes","AVIBASE-8EFBF8E5",5,2,3,0,4,27.6,21.6,10.8,21.8,20.9,158.4,67.8,88.9,43.2,90.4,173.5,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-11.85,-8.3,-9.75,160.84,14033.51,22684621,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-1.26716539,0.654378528,-0.00209913,NA,NA,7.563488371,4.762890343,5.333333333
"2806","Primolius maracana","Blue-winged Macaw",4268,"Psittacidae","Psittaciformes","AVIBASE-A6B715E5",10,4,4,2,4,37.3,33.9,18,38,14.8,209.8,73.3,135.5,35.4,208.8,256,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-26.58,-0.54,-15.24,-48.58,3458797.75,22685606,2,0,1,0,1,0,0,1,0,0,0,0,0,0,4.24006291,1.043378373,0.20884978,-0.146557964,3,7.565788422,4.766856528,0
"2807","Psittacula derbiana","Lord Derby's Parakeet",4477,"Psittacidae","Psittaciformes","AVIBASE-BE817B49",4,2,2,0,4,38,31,17.7,36.5,19.3,212.8,106,106.8,49.8,248.8,251,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",21.99,30.94,28.04,97.99,332466.75,22685500,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1.89792642,1.023653868,0.221161974,NA,NA,7.585901208,4.801538812,0
"2808","Gygis microrhyncha","Little White Tern",2584,"Laridae","Charadriiformes","AVIBASE-850AB2F1",4,3,1,0,4,39,24.4,3.1,5.4,10.4,215,137.2,77.8,63.8,76.8,117,"DataFromSplit",NA,"NO",NA,NA,NA,2,3,"Carnivore","Aquatic predator","Aerial",-10.54,4.72,-5.63,-146.61,1686.62,22694830,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-3.385886905,0.260374864,0.230190915,NA,NA,7.592333728,4.812630984,0
"2809","Caloenas nicobarica","Nicobar Pigeon",784,"Columbidae","Columbiformes","AVIBASE-0FFC77EF",5,2,3,0,3,30.7,16.4,5.4,7.7,43.7,259,85.5,174.8,32.8,98.8,537.9,"Dunning",NA,"NO",NA,NA,0,1,2,"Herbivore","Omnivore","Terrestrial",-11.85,19.58,-0.34,127.47,475640.94,22690974,2,0,1,1,0,0,0,1,0,0,0,0,0,0,2.25604981,1.785873598,0.410769749,-2.308782645,1,7.594316024,4.816049235,0
"2810","Crax alberti","Blue-billed Curassow",127,"Cracidae","Galliformes","AVIBASE-9260D3DD",5,2,1,2,4,52.5,26.5,12.4,21.8,107,401,42.7,354.1,10.8,352,2499.9,"Inferred",NA,"YES","Body Mass","Crax daubentoni",0,1,1,"Herbivore","Frugivore","Terrestrial",5.66,11.35,9.54,-74.25,4775.15,22678525,5,1,1,0,1,1,1,1,0,0,1,0,0,0,-2.345188044,3.322206939,0.993546894,-1.227670305,2,7.596253107,4.819389521,0
"2811","Anser erythropus","Lesser White-fronted Goose",419,"Anatidae","Anseriformes","AVIBASE-184D2329",5,2,3,0,4,40.9,21.6,15.5,13.7,61.2,369,195.5,173,53.1,112.4,1755.5,"Dunning",NA,"NO",NA,NA,0,3,3,"Herbivore","Herbivore terrestrial","Terrestrial",62.36,74.37,68.29,95.41,2594919.27,22679886,3,1,1,1,0,0,0,1,1,1,1,0,1,0,3.95269725,2.968709925,0.862216833,2.015666717,5,7.603944772,4.83265295,0
"2812","Rhynochetos jubatus","Kagu",581,"Rhynochetidae","Eurypygiformes","AVIBASE-227D77FB",4,1,2,1,2,67.2,42.2,9.8,17,100,264.3,37.1,227.2,14,183.5,860,"Dunning",NA,"NO",NA,NA,0,1,1,"Carnivore","Invertivore","Terrestrial",-22.15,-20.82,-21.58,165.9,1341.75,22692211,4,1,1,1,0,1,0,1,0,1,0,0,0,0,-3.614638699,2.255133318,0.43252129,-2.308782645,1,7.604857201,4.834226334,0
"2813","Ara rubrogenys","Red-fronted Macaw",4276,"Psittacidae","Psittaciformes","AVIBASE-929DECF1",5,0,3,2,5,50.5,46.5,24.7,50.1,27.1,299.6,112.8,186.9,37.9,321.4,468,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Granivore","Insessorial",-19.57,-17.79,-18.35,-64.86,7426.04,22685572,5,1,1,0,0,0,0,1,0,0,1,0,0,0,-1.903620689,1.646669225,0.577394764,-1.389837156,1.85,7.622140006,4.864028627,4.135135135
"2814","Aphrodroma brevirostris","Kerguelen Petrel",2053,"Procellariidae","Procellariiformes","AVIBASE-62797BD3",4,2,2,0,4,28.4,21.7,6.1,9.6,36.5,240.2,147.8,92.5,61.5,98,357,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Generalist",-76.11,-29.98,-51.31,8.51,60101971.46,22697888,1,0,0,1,0,0,0,0,0,0,0,0,0,0,7.09518449,1.375936711,0.333613338,NA,NA,7.625252312,4.869395456,2.563063063
"2815","Lophura inornata","Salvadori's Pheasant",340,"Phasianidae","Galliformes","AVIBASE-0C6585C7",8,4,4,0,5,33.9,17.2,10.7,11.7,69,209.3,45,164.2,21.5,137.5,685,"Updated_literature","BoW","NO",NA,NA,0,1,1,"Omnivore","Omnivore","Terrestrial",-5.84,5.5,0.85,99.63,71415.83,45355372,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0.35990612,2.027619767,0.206797748,-1.227670305,2,7.625545366,4.869900795,0
"2816","Poicephalus robustus","Cape Parrot",4105,"Psittacidae","Psittaciformes","AVIBASE-2F4B17A7",5,1,4,0,4,40.5,32.9,20,35.8,20.8,212.6,84.8,128.2,39.8,90.6,343,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Omnivore","Insessorial",-33.78,-23.4,-30.97,28.7,95197.08,119194858,3,1,0,1,0,0,0,1,0,0,0,0,1,0,0.64733584,1.335931376,0.220341161,-0.146557964,3,7.634500039,4.885342143,23.8963964
"2817","Larus audouinii","Audouin's Gull",2616,"Laridae","Charadriiformes","AVIBASE-F7B9355E",5,3,2,0,4,57.1,25,6.8,14.8,53.7,394.4,236.2,157.8,60,150.8,535,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Aerial",35,43.23,37.53,5.5,22485.41,22694313,3,1,0,1,0,0,0,1,0,0,0,0,0,0,-0.79574678,1.780467676,0.966460069,NA,NA,7.650584919,4.913078746,4.301801802
"2818","Limosa limosa","Black-tailed Godwit",2458,"Scolopacidae","Charadriiformes","AVIBASE-454B5CD5",5,2,3,0,4,113.5,95.6,6,10,78,215.6,110.2,103.6,51.5,78,288.4,"Dunning",NA,"NO",NA,NA,0,3,3,"Carnivore","Aquatic predator","Terrestrial",41.74,69.09,55.43,66.46,10058061.19,22693150,2,0,1,1,1,1,1,1,1,1,1,0,1,0,5.30751627,1.162549334,0.232653354,0.880498759,3.95,7.651186278,4.914115724,9.054054054
"2819","Penelope purpurascens","Crested Guan",96,"Cracidae","Galliformes","AVIBASE-01A38979",7,3,1,3,6,45.8,18.2,10.1,11.2,83.5,379.7,45.7,337.6,12,368.6,2060,"Dunning",NA,"NO",NA,NA,0,1,1,"Herbivore","Frugivore","Insessorial",-4.22,24.46,13.31,-85.92,1269425.48,22678376,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.23770627,3.128662191,0.906130323,-0.687114134,2.5,7.680779767,4.965146436,0
"2820","Lophotriorchis kienerii","Rufous-bellied Eagle",3034,"Accipitridae","Accipitriformes","AVIBASE-BEB2A9A8",7,2,2,3,4,46.1,20.5,11.9,17.2,53.5,366.2,127.6,227.5,35.9,216.3,799,"Dunning",NA,"NO",NA,NA,0,2,1,"Carnivore","Vertivore","Aerial",-9.11,29.46,9.42,104.2,3758691.08,22696111,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4.32321263,2.181561875,0.850725453,-2.308782645,1,7.683122238,4.969185769,0
"2821","Rhyticeros everetti","Sumba Hornbill",3319,"Bucerotidae","Bucerotiformes","AVIBASE-CDBB9B38",1,0,1,0,1,144.5,125.5,39.1,46.2,55.1,338,75,263,22.2,258,697.2,"Inferred",NA,"YES","Body Mass","Rhyticeros narcondami",0,2,1,"Herbivore","Frugivore","Insessorial",-10.32,-9.28,-9.76,119.95,10704.53,22682535,4,1,1,0,0,0,0,1,0,1,0,0,0,0,-1.537946415,2.045273243,0.734990837,NA,NA,7.685893128,4.973963864,1.463963964
"2822","Psittacula alexandri","Red-breasted Parakeet",4476,"Psittacidae","Psittaciformes","AVIBASE-AC2576A1",11,8,3,0,9,27.7,25.2,15.6,24.6,14.2,163.9,86.3,78.6,52.3,163.8,147,"Dunning",NA,"NO",NA,NA,0,2,1,"Herbivore","Omnivore","Insessorial",-8.85,30.8,19.3,99.68,2572495.73,22685505,2,0,1,0,0,0,0,1,0,0,0,0,0,0,3.94401838,0.488633516,0.020473224,0.123720121,3.25,7.687546793,4.976815427,2.536036036
"2823","Larus modestus","Grey Gull",2606,"Laridae","Charadriiformes","AVIBASE-804CCA3A",4,2,2,0,4,50.7,19.8,5.1,10.4,46.8,318,176.5,141.5,55.5,116.8,344,"Dunning",NA,"NO",NA,NA,0,3,2,"Carnivore","Aquatic predator","Generalist",-26.92,-18.63,-22.95,-69.87,83704.77,22694292,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0.51868253,1.338842586,0.652909549,NA,NA,7.696132714,4.991620902,27.03603604
